T,3AI,3GI_RI,3GI_EL
90+,5,8,4
89, ,  , 
88,4,  , 
87, ,  , 
86, ,  , 
85, ,  , 
84, ,7,3
83, ,  , 
82, ,  , 
81, ,  , 
80, ,  , 
79, ,  , 
78,3,6, 
77, ,  , 
76, ,  , 
75, ,  , 
74, ,  , 
73, ,  , 
72, ,5,2
71, ,  , 
70, ,  , 
69, ,  , 
68, ,  , 
67,2,  , 
66, ,4, 
65, ,  , 
64, ,  , 
63, ,  , 
62, ,  , 
61, ,  , 
60, ,3,1
59, ,  , 
58, ,  , 
57, ,  , 
56,1,  , 
55, ,  , 
54, ,2, 
53, ,  , 
52, ,  , 
51, ,  , 
50, ,  , 
49, ,  , 
48, ,1, 
47, ,  ,0
46, ,  , 
45,0,  , 
44, ,  , 
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,, 
