T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,44,44,14,,14,9,19,30,23,9,9
89,,43,43,13,,13,,,29,,,
88,30,42,42,,,,,18,,22,,
87,,41,41,,,,,,28,,8,8
86,29,40,40,,,,8,,27,21,,
85,28,39,,12,,12,,17,,,,
84,,38,39,,,,,,26,20,,
83,27,37,38,,,,,16,,,,
82,26,,37,11,,11,,,25,19,7,7
81,,36,36,,,,,,24,,,
80,25,35,35,,21,,7,15,,18,,
79,24,34,34,,,,,,23,,,
78,,33,,10,20,10,,14,22,17,,
77,23,32,33,,,,,,,,,
76,22,31,32,,19,,,,21,16,6,6
75,,30,31,9,,9,6,13,,,,
74,21,29,30,,18,,,,20,15,,
73,,28,29,,,,,12,19,,,
72,20,27,28,,17,,,,,14,,
71,19,26,27,8,,8,,,18,,5,5
70,,25,,,16,,,11,,13,,
69,18,,26,,,,5,,17,,,
68,17,24,25,7,15,7,,10,16,12,,
67,,23,24,,,,,,,,,
66,16,22,23,,14,,,,15,,4,4
65,15,21,22,,,6,,9,14,11,,
64,,20,21,6,13,,4,,,,,
63,14,19,,,,,,8,13,10,,
62,13,18,20,,12,,,,,,,
61,,17,19,5,,5,,,12,9,3,
60,12,16,18,,11,,,7,11,,,3
59,11,15,17,,10,,,,,8,,
58,,14,16,,,4,3,6,10,,,
57,10,13,15,4,9,,,,9,7,,
56,9,,14,,,,,,,,2,
55,,12,,,8,,,5,8,6,,2
54,8,11,13,3,,3,,,,,,
53,7,10,12,,7,,2,4,7,5,,
52,,9,11,,,,,,6,,,
51,6,8,10,,6,2,,,,4,,
50,5,7,9,2,,,,3,5,,1,
49,,6,8,,5,,,,4,3,,1
48,4,5,,,,,1,2,,,,
47,,4,7,1,4,1,,,3,2,,
46,3,3,6,,,,,,,,,
45,2,2,5,,3,,,1,2,1,0,
44,,1,4,,,0,,,1,,,0
43,1,,3,0,2,,,0,,0,,
42,0,0,2,,,,0,,0,,,
41,,,1,,1,,,,,,,
<=40,,,0,,0,,,,,,,
