T,3AI,3GI_RI,3GI_EL
90+,9,15,4
89, ,14, 
88, ,  , 
87, ,  , 
86, ,13, 
85,8,  , 
84, ,  , 
83, ,12, 
82, ,  ,3
81, ,  , 
80,7,  , 
79, ,11, 
78, ,  , 
77, ,  , 
76, ,10, 
75,6,  , 
74, ,  , 
73, ,  , 
72, ,9, 
71, ,  , 
70,5,  , 
69, ,8,2
68, ,  , 
67, ,  , 
66, ,7, 
65,4,  , 
64, ,  , 
63, ,  , 
62, ,6, 
61, ,  , 
60,3,  , 
59, ,5, 
58, ,  , 
57, ,  ,1
56, ,4, 
55,2,  , 
54, ,  , 
53, ,  , 
52, ,3, 
51, ,  , 
50,1,  , 
49, ,2, 
48, ,  , 
47, ,  , 
46, ,1, 
45, ,  ,0
44,0,  , 
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,  , 
