T,3AI,3GI_RI,3GI_EL
90+,9,16,6
89, ,  , 
88, ,  , 
87,8,15,5
86, ,  , 
85, ,  , 
84, ,14, 
83, ,  , 
82, ,  , 
81,7,13, 
80, ,  , 
79, ,  ,4
78, ,12, 
77, ,  , 
76,6,  , 
75, ,11, 
74, ,  , 
73, ,  , 
72, ,10, 
71,5,  , 
70, ,  ,3
69, ,9, 
68, ,  , 
67, ,  , 
66,4,8, 
65, ,  , 
64, ,  , 
63, ,7, 
62, ,  ,2
61,3,  , 
60, ,6, 
59, ,  , 
58, ,  , 
57, ,5, 
56, ,  , 
55,2,  , 
54, ,4,1
53, ,  , 
52, ,3, 
51, ,  , 
50,1,  , 
49, ,2, 
48, ,  , 
47, ,  , 
46, ,1,0
45,0,  , 
44, ,  , 
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
