T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,42,,16,,16,12,19,,23,8,11
89,,41,,15,,,11,18,,,,
88,,40,48,,,,,,30,22,,10
87,,,47,,,15,,17,29,,,
86,,39,46,14,,,,,,21,,
85,30,38,45,,,,10,,28,,,
84,,37,44,,,14,,16,,20,7,9
83,29,36,43,13,,,,,27,,,
82,28,35,42,,,,,,26,19,,
81,,34,41,,,13,,15,,,,
80,27,33,40,12,21,,9,,25,18,,
79,26,32,39,,,,,14,24,,6,8
78,,31,38,,20,12,,,,17,,
77,25,,37,11,,,,,23,,,
76,24,30,36,,19,11,8,13,22,16,,
75,,29,35,,,,,,,,,7
74,23,28,34,10,18,,,12,21,15,,
73,22,27,33,,,10,,,20,,5,
72,,26,32,,17,,7,,,14,,
71,21,25,31,9,,,,11,19,,,6
70,20,24,30,,16,9,,,,13,,
69,19,23,29,,,,,,18,,,
68,,,28,8,15,,6,10,17,12,4,
67,18,22,27,,,8,,,,,,
66,17,21,26,,14,,,9,16,,,5
65,,20,25,7,,,,,15,11,,
64,16,19,24,,13,7,,,,,,
63,15,18,23,,,,5,8,14,10,,
62,,17,22,,12,,,,13,,3,4
61,14,16,21,6,,6,,7,,9,,
60,13,15,20,,11,,,,12,,,
59,,14,19,,,5,4,,11,8,,
58,12,,18,5,10,,,6,,,,3
57,11,13,17,,9,,,,10,7,2,
56,10,12,16,,,4,,,,,,
55,,11,15,4,8,,3,5,9,6,,
54,9,10,14,,,,,,8,,,2
53,8,9,13,,7,3,,4,,5,,
52,,8,12,3,,,,,7,,,
51,7,7,11,,6,,2,,6,4,1,
50,6,6,10,,,2,,3,,,,
49,,5,9,2,5,,,,5,3,,1
48,5,,8,,,,,2,4,,,
47,4,4,7,,4,1,1,,,2,,
46,,3,6,1,,,,,3,,0,
45,3,2,5,,3,,,1,2,1,,0
44,2,1,4,,,0,,,,,,
43,,0,3,0,2,,,,1,0,,
42,1,,2,,,,0,0,,,,
41,0,,1,,1,,,,0,,,
<=40,,,0,,0,,,,,,,
