T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,43,,,,21,14,23,,27,8,11
89,,42,,,,,13,,,26,,
88,,41,,18,,20,,,,,,
87,,40,,,,,,22,,25,,10
86,,39,,,,19,12,,,24,,
85,,,,17,,,,21,,,7,
84,,38,,,,18,,,,23,,
83,,37,,16,,,,20,,,,9
82,,36,,,21,17,11,,30,22,,
81,30,35,48,,,,,19,29,,,
80,29,34,47,15,20,,,,,21,,
80,,,46,,,,,,,,,
79,,33,45,,,16,10,18,28,,6,
78,28,32,44,14,19,,,,27,20,,8
77,27,,43,,,15,,17,26,,,
76,26,31,42,,18,,,,,19,,
75,,30,41,13,,14,9,16,25,,,
75,,,40,,,,,,,,,
74,25,29,39,,17,,,,24,18,5,7
73,24,28,38,,,13,,15,23,,,
72,23,27,37,12,16,,,,,17,,
71,22,26,36,,,12,8,14,22,16,,
70,,25,35,11,15,,,,21,,,6
70,,,34,,,,,,,,,
69,21,,33,,,,,13,20,15,,
68,20,24,32,,14,11,7,,,,4,
67,19,23,31,10,,,,12,19,14,,
66,,22,30,,13,10,,,18,,,5
65,18,21,29,9,,,,11,17,13,,
65,,,28,,,,,,,,,
64,17,20,27,,12,9,6,,,,,
63,16,19,26,,,,,10,16,12,,
62,,18,25,8,11,8,,,15,,3,
61,15,,24,,,,5,9,14,11,,4
60,14,17,23,,10,7,,,,,,
60,,,22,,,,,,,,,
59,13,16,21,7,,,,8,13,10,,
58,,15,20,,9,,,,12,9,,
57,12,14,19,6,,6,4,7,11,,,3
56,11,13,18,,8,,,,,8,2,
55,10,12,17,,,5,,6,10,,,
54,9,11,16,5,7,,3,,9,7,,
54,,,15,,,,,,,,,
53,,,14,,,4,,5,8,,,2
52,8,10,13,4,6,,,,,6,,
51,7,9,12,,5,3,,4,7,,1,
50,6,8,11,,,,2,,6,5,,
49,,7,10,3,4,2,,3,5,,,1
49,,,9,,,,,,,,,
48,5,6,8,,,,,,4,4,,
47,4,5,7,,3,,,2,,,,
46,3,4,6,2,,1,1,,3,3,,
45,,,5,,2,,,1,2,2,0,
44,2,3,4,1,,0,,,1,,,0
44,,,3,,,,,,,,,
43,1,2,2,,1,,0,0,,1,,
42,0,1,1,,,,,,0,,,
41,,0,0,0,0,,,,,0,,
<=40,,,,,,,,,,,,
