T,3AI,3GI_RI,3GI_EL
90+,5,9,4
89, ,  , 
88, ,  , 
87,4,  , 
86, ,8, 
85, ,  , 
84, ,  , 
83, ,  ,3
82, ,  , 
81, ,7, 
80, ,  , 
79, ,  , 
78, ,  , 
77,3,  , 
76, ,  , 
75, ,6, 
74, ,  , 
73, ,  , 
72, ,  , 
71, ,  ,2
70, ,5, 
69, ,  , 
68, ,  , 
67, ,  , 
66,2,  , 
65, ,  , 
64, ,4, 
63, ,  , 
62, ,  , 
61, ,  , 
60, ,  , 
59, ,  ,1
58, ,3, 
57, ,  , 
56,1,  , 
55, ,  , 
54, ,  , 
53, ,2, 
52, ,  , 
51, ,  , 
50, ,  , 
49, ,  , 
48, ,  , 
47, ,1, 
46,0,  ,0
45, ,  , 
44, ,  , 
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,  , 
