T,3AI,3GI_RI,3GI_EL
90+,11,17,5
89, ,16, 
88, ,  , 
87,10,  , 
86, ,15, 
85, ,  , 
84, ,  , 
83,9,14, 
82, ,  ,4
81,,  , 
80,,13, 
79,8,  , 
78, ,  , 
77, ,12, 
76, ,  , 
75, ,11, 
74,7,  , 
73, ,  ,3
72, ,10, 
71, ,  , 
70,6,  , 
69, ,9, 
68, ,  , 
67, ,  , 
66,5,8, 
65, ,  , 
64, ,  ,2
63, ,7, 
62,4,  , 
61, ,  , 
60, ,6, 
59, ,  , 
58,3,  , 
57, ,5, 
56, ,  , 
55, ,  ,1
54,2,4, 
53, ,, 
52, ,  , 
51, ,3, 
50, ,  , 
49,1,  , 
48, ,2, 
47, ,  , 
46, ,  ,0
45,0,1, 
44, ,  , 
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,  , 
