T,3AI,3GI_RI,3GI_EL
90+,11,  ,7
89, ,  , 
88,10,  ,6
87, ,  , 
86, ,  , 
85, ,  , 
84,9,  , 
83, ,18, 
82, ,  , 
81, ,17,5
80,8,  , 
79, ,16, 
78, ,  , 
77, ,15, 
76, ,  , 
75,7,14, 
74, ,  ,4
73, ,  , 
72, ,13, 
71,6,  , 
70, ,12, 
69, ,  , 
68, ,11, 
67,5,  , 
66, ,10,3
65, ,  , 
64, ,  , 
63, ,9, 
62,4,  , 
61, ,8, 
60, ,  , 
59, ,7,2
58,3,  , 
57, ,6, 
56, ,  , 
55, ,  , 
54,2,5, 
53, ,  , 
52, ,4,1
51, ,  , 
50, ,3, 
49,1,  , 
48, ,2, 
47, ,  , 
46, ,1, 
45,0,  ,0
44, ,  , 
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
