T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,31,,,,13,12,17,29,19,8,7
89,,30,,,,12,,,,18,,
88,30,29,,,,,,,28,,,
87,,,48,18,,,11,16,27,,,
86,29,28,47,,,,,,,17,,
85,28,,46,,,11,,15,26,,7,
84,,27,45,17,21,,,,,,,6
83,27,26,44,,,,10,,25,16,,
82,26,,43,16,20,10,,14,24,,,
81,,25,42,,,,,,,15,,
80,25,24,41,,19,,,,23,,,
79,24,,40,15,,,9,13,,,6,
78,,23,39,,18,9,,,22,14,,5
77,23,22,38,14,,,,,21,,,
76,22,,37,,,,,12,,13,,
75,,21,36,,17,,8,,20,,,
75,,,35,,,,,,,,,
74,21,,34,13,,8,,,19,,5,
73,20,20,33,,16,,,11,,12,,
72,,19,32,12,,,,,18,,,
71,19,,31,,15,7,7,,,,,4
70,18,18,30,,,,,10,17,11,,
69,,17,29,11,14,,,,16,,,
68,17,,28,,,,,,,10,4,
67,,16,27,10,13,6,,9,15,,,
66,16,,26,,,,6,,,,,
65,15,15,25,9,12,,,8,14,9,,
64,,14,24,,,5,,,13,,,3
63,14,,23,,11,,,,,8,3,
62,13,13,22,8,,,5,7,12,,,
61,,12,21,,10,,,,,,,
60,12,,20,7,,4,,,11,7,,
59,11,11,19,,9,,,6,10,,,
58,,10,18,,,,4,,,,,
57,10,,17,6,8,,,,9,6,2,2
56,9,9,16,,,3,,5,,,,
55,,,15,5,7,,,,8,5,,
54,8,8,14,,,,3,,7,,,
54,,,13,,,,,,,,,
53,7,7,12,,6,2,,4,,,,
52,,,11,4,,,,,6,4,1,
51,6,6,10,,5,,,,5,,,1
50,5,5,9,3,,,2,3,,3,,
49,,,8,,,1,,,4,,,
48,4,4,7,,4,,,,,,,
47,3,3,6,2,,,,2,3,2,,
46,,,5,,3,,1,,2,,0,
45,2,2,4,1,,0,,,,,,
44,1,,3,,2,,,1,1,1,,0
43,,1,2,,,,,,,,,
42,0,0,1,0,1,,0,0,0,0,,
41,,,0,,,,,,,,,
<=40,,,,,0,,,,,,,
