T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,18,24,37,14,19,13,9,12,18,13,4,7
89,,23,36,,,,,11,,,,
88,17,,35,,18,12,8,,17,,,
87,,22,34,13,,,,,,12,,
86,,,,,,,,,,,,
85,16,21,33,,17,11,,10,16,,,
84,,,32,12,,,,,,11,,6
83,,20,31,,,,7,,,,,
82,15,,,,16,,,,15,,,
81,,19,30,,,10,,9,,,,
80,,,29,11,15,,,,14,10,3,
79,14,18,28,,,,,,,,,
78,,,,,,9,,,,,,5
77,13,17,27,10,14,,6,,13,,,
76,,,26,,,,,8,,9,,
75,,16,25,,13,,,,,,,
74,12,,,9,,8,,,12,,,
73,,15,24,,,,,,,,,
72,,,23,,12,,5,7,,8,,4
71,11,14,22,,,7,,,11,,,
70,,,,8,,,,,,,,
69,,13,21,,11,,,,10,7,,
68,10,,20,,,,,6,,,2,
67,,12,19,7,10,6,,,,,,
66,9,,,,,,4,,9,,,3
65,,11,18,,,,,,,6,,
64,,,17,6,9,5,,5,,,,
63,8,10,16,,,,,,8,,,
62,,,,,8,,,,,,,
61,,9,15,,,,3,,7,5,,
60,7,,14,5,,4,,4,,,,
59,,8,13,,7,,,,,,,2
58,,,,,,,,,6,4,,
57,6,7,12,4,,3,,,,,1,
56,,,11,,6,,,3,,,,
55,5,6,10,,,,2,,5,,,
54,,,,3,5,,,,,3,,
53,,5,9,,,2,,,4,,,1
52,4,,8,,,,,2,,,,
51,,4,7,,4,,,,,,,
50,,,,2,,1,1,,3,2,,
49,3,3,6,,,,,,,,,
48,,,5,,3,,,,,,,
47,2,2,4,1,,,,1,2,,,0
46,,,,,2,0,,,,1,,
45,,1,3,,,,0,,1,,0,
44,1,,2,0,,,,,,,,
43,,0,,,1,,,0,,0,,
42,,,1,,,,,,0,,,
41,0,,0,,0,,,,,,,
<=40,,,,,,,,,,,,
