T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,47,,14,,16,14,21,29,25,10,9
89,,46,,,,,,20,,,9,
88,,45,48,13,,15,13,,28,24,,
87,30,44,47,,21,,,19,27,,,
86,,43,46,,,,,,,23,,8
85,29,42,45,,20,14,12,18,26,,,
84,28,41,44,12,,,,,,22,8,
83,,40,43,,19,,,,25,,,
82,27,39,42,,,13,,17,24,21,,
81,26,38,41,11,,,11,,,,,
80,,37,40,,18,,,16,23,20,,7
79,25,36,39,,,12,,,,,7,
78,,35,38,,17,,10,15,22,19,,
77,24,34,37,10,,,,,,,,
76,23,33,36,,16,11,,,21,18,,
75,,32,35,,,,,14,20,17,,6
74,22,31,34,9,,,9,,,,6,
73,21,30,33,,15,10,,13,19,16,,
72,,29,32,,,,,,,,,
71,20,28,31,8,14,,8,,18,15,,
70,19,27,30,,,9,,12,,,5,5
69,,26,29,,,,,,17,14,,
68,18,25,28,,13,8,,11,16,,,
67,17,24,27,7,,,7,,,13,,
66,,23,26,,12,,,10,15,,,
65,16,22,25,,,7,,,,12,4,4
64,,21,24,6,11,,6,,14,,,
63,15,20,23,,,,,9,13,11,,
62,14,19,22,,,6,,,,,,
61,,18,21,,10,,,8,12,10,,
60,13,17,20,5,,,5,,,9,3,3
59,12,16,19,,9,5,,7,11,,,
58,,15,18,,,,,,,8,,
57,11,14,17,4,8,,4,,10,,,
56,10,13,16,,,4,,6,9,7,2,
55,,12,15,,,,,,,,,2
54,9,11,14,,7,,,5,8,6,,
53,,10,13,3,,3,3,,,,,
52,8,9,12,,6,,,,7,5,,
51,7,8,11,,,,,4,,,1,
50,,7,10,2,5,2,2,,6,4,,1
49,6,6,9,,,,,3,5,,,
48,5,5,8,,,,,,,3,,
47,,4,7,1,4,1,,2,4,,,
46,4,3,6,,,,1,,,2,0,
45,3,2,5,,3,0,,,3,1,,0
44,,1,4,,,,,1,2,,,
43,2,0,3,0,2,,0,,,0,,
42,1,,2,,,,,0,1,,,
41,,,1,,,,,,,,,
<=40,0,,0,,1,,,,0,,,
<=40,,,,,0,,,,,,,
