T,3AI,3GI_RI,3GI_EL
90+,6,9,4
89, ,  , 
88, ,8, 
87, ,  , 
86, ,  , 
85,5,  , 
84, ,  ,3
83, ,7, 
82, ,  , 
81, ,  , 
80, ,  , 
79, ,  , 
78, ,  , 
77,4,6, 
76, ,  , 
75, ,  , 
74, ,  , 
73, ,  , 
72, ,5,2
71, ,  , 
70,3,  , 
69, ,  , 
68, ,  , 
67, ,  , 
66, ,4, 
65, ,  , 
64, ,  , 
63, ,  , 
62,2,  , 
61, ,3, 
60, ,  , 
59, ,  ,1
58, ,  , 
57, ,  , 
56, ,  , 
55, ,2, 
54,1,  , 
53, ,  , 
52, ,  , 
51, ,  , 
50, ,  , 
49, ,1, 
48, ,  , 
47,0,  ,0
46, ,  , 
45, ,  , 
44, ,0, 
43, ,  , 
42, ,  , 
41, ,  , 
<=40, ,  , 
