T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,24,23,39,14,20,13,12,14,23,17,7,8
89,23,22,,13,,,11,13,22,16,6,
88,,,38,,19,,,,,,,
87,22,21,37,,,,,,21,15,,
86,,,36,,18,12,,12,,,,7
85,21,20,35,12,,,10,,20,,,
84,,,34,,,,,,,14,,
83,20,19,,,17,11,,,19,,,
82,,,33,11,,,,11,,,5,
81,19,18,32,,16,,9,,18,13,,6
80,,,31,,,10,,,,,,
79,18,17,30,,,,,10,17,,,
78,,,,10,15,,,,,12,,
77,17,16,29,,,,8,,16,,,
76,,,28,,14,9,,,,,,
75,16,15,27,9,,,,9,,11,4,5
74,,,26,,,,,,15,,,
73,15,14,,,13,8,7,,,10,,
72,,,25,,,,,8,14,,,
71,14,13,24,8,12,,,,,,,
70,,,23,,,7,,,13,9,,
69,13,12,22,,,,6,,,,,4
68,,,21,7,11,,,7,12,,,
67,12,11,,,,5,,,,8,3,
66,,,20,,10,6,,,11,,,
65,11,10,19,,,,,6,,,,
64,,,18,6,9,,5,,10,7,,
63,,9,17,,,5,,,,,,3
62,10,,,,,,,,9,6,,
61,,8,16,5,8,,,5,,,,
60,9,,15,,,,4,,8,,2,
59,,7,14,,7,4,,,,5,,
58,8,,13,,,,,4,7,,,
57,,6,12,4,,,,,,,,2
56,7,,,,6,3,3,,,4,,
55,,5,11,,,,,,6,,,
54,6,,10,3,5,,,3,,,,
53,,4,9,,,2,,,5,3,1,
52,5,,8,,,,2,,,,,1
51,,3,,,4,,,2,4,,,
50,4,,7,2,,,,,,2,,
49,,2,6,,3,1,,,3,,,
48,3,,5,,,,1,,,1,,
47,,1,4,1,,,,1,2,,,
46,2,,3,,2,0,,,,,0,0
45,,0,,,,,,,1,0,,
44,1,,2,,1,,0,0,,,,
43,,,1,0,,,,,0,,,
42,0,,0,,,,,,,,,
41,,,,,0,,,,,,,
<=40,,,,,,,,,,,,
