T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,44,,,,19,12,21,,28,9,10
89,,43,,,,18,,,,27,,
88,,42,,,,,11,20,,,8,
87,,41,,,,,,,,26,,
86,,40,,,,17,,,,25,,
85,,39,,,,,,19,,,,9
84,,38,,,,16,10,,,24,,
83,,,,,,,,18,,,7,
82,,37,,,,,,,,23,,
81,,36,,,,15,,17,30,,,8
80,,35,48,18,,,9,,29,22,,
79,30,34,47,,,14,,16,,,,
78,29,33,46,17,,,,,28,21,,
77,28,32,45,,21,,,,27,20,6,
77,,,44,,,,,,,,,
76,,31,43,16,20,13,8,15,26,,,7
75,27,30,42,,,,,,,19,,
74,26,,41,15,19,12,,14,25,,,
73,25,29,40,,,,,,24,18,,
72,,28,39,14,18,,7,13,23,,5,6
72,,,38,,,,,,,,,
71,24,27,37,,,11,,,,17,,
70,23,26,36,,17,,,,22,,,
69,22,25,35,13,,10,,12,21,16,,
68,21,24,34,,16,,,,20,15,,
67,,23,33,12,,,6,11,,,,5
67,,,32,,,,,,,,,
66,20,22,31,,15,9,,,19,14,4,
65,19,,30,11,14,,,10,18,,,
64,18,21,29,,,8,,,17,13,,
63,,20,28,10,13,,5,,,,,4
62,17,19,27,,,,,9,16,12,,
62,,,26,,,,,,,,,
61,16,18,25,9,12,7,,,15,11,3,
60,15,17,24,,,,,8,14,11,,
59,14,16,23,8,11,6,4,,,10,,
58,,15,22,,,,,7,13,,,3
57,13,14,21,,10,,,,12,9,,
57,,,20,,,,,,,,,
56,12,,19,7,,5,,,11,,2,
55,11,13,18,,9,,3,6,,8,,
54,,12,17,6,8,4,,,10,,,2
53,10,11,16,,,,,5,9,7,,
53,,,15,,,,,,,,,
52,9,10,14,5,7,,,,8,,,
51,8,9,13,,,3,2,4,,6,,
50,7,8,12,4,6,,,,7,5,1,
49,,7,11,,,2,,,6,,,1
48,6,6,10,3,5,,,3,5,4,,
48,,,9,,,,,,,,,
47,5,,8,,,,1,,,,,
46,4,5,7,2,4,1,,2,4,3,,
45,,4,6,,,,,,3,,0,
44,3,3,5,,3,0,,1,2,2,,0
43,2,2,4,1,2,,0,,,,,
43,,,3,,,,,,,,,
42,1,1,2,,,,,,1,1,,
41,0,0,1,0,1,,,0,0,0,,
<=40,,,0,,0,,,,,,,
