T,3AI,3GI_RI,3GI_EL
90+,9,16,5
89, ,15, 
88, ,  , 
87,8,  , 
86, ,14, 
85, ,  ,4
84, ,  , 
83, ,13, 
82, ,  , 
81,7,  , 
80, ,12, 
79, ,  , 
78, ,  , 
77, ,11, 
76,6,  ,3
75, ,  , 
74, ,10, 
73, ,  , 
72, ,  , 
71,5,9, 
70, ,  , 
69, ,  , 
68, ,8, 
67, ,, 
66,4,  ,2
65, ,7, 
64, ,  , 
63, ,  , 
62, ,  , 
61,3,6, 
60, ,  , 
59, ,  , 
58, ,5, 
57, ,  , 
56, ,  ,1
55,2,4, 
54, ,  , 
53, ,  , 
52, ,3, 
51, ,  , 
50,1,  , 
49, ,2, 
48, ,  , 
47, ,  , 
46, ,1,0
45,0,  , 
44, ,  , 
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
