T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,20,21,35,12,17,13,10,11,18,14,5,7
89,19,20,34,,,,,,,,,
88,,,,,,,,,17,13,,
87,,19,33,11,16,,,,,,,6
86,18,,32,,,12,9,10,,,4,
85,,,,,15,,,,16,12,,
84,17,18,31,,,,,,,,,
83,,,30,10,,11,,,,,,
82,,17,29,,14,,8,9,15,,,
81,16,,,,,,,,,11,,
80,,16,28,,,10,,,14,,,5
79,15,,27,9,13,,,,,,,
78,,15,26,,,,,8,,10,,
77,,,,,,,7,,13,,3,
76,14,14,25,,12,9,,,,,,
75,,,24,8,,,,,12,9,,
74,13,,23,,,,,,,,,
73,,13,,,11,8,,7,,,,4
72,12,,22,,,,6,,11,,,
71,,12,21,7,,,,,,8,,
70,,,20,,10,7,,,,,,
69,11,11,,,,,,6,10,,,
68,,,19,6,,,,,,7,,
67,10,10,18,,9,,5,,9,,2,3
66,,,,,,6,,,,,,
65,,9,17,,,,,5,,6,,
64,9,,16,5,8,,,,8,,,
63,,,15,,,5,4,,,,,
62,8,8,,,7,,,,,,,
61,,,14,,,,,4,7,5,,
60,,7,13,4,,4,,,,,,2
59,7,,12,,6,,,,6,,,
58,,6,,,,,3,,,4,,
57,6,,11,,,,,,,,1,
56,,5,10,3,5,3,,3,5,,,
55,,,9,,,,,,,,,
54,5,,,,,,,,,3,,
53,,4,8,,4,2,2,,4,,,1
52,4,,7,2,,,,2,,,,
51,,3,,,,,,,3,2,,
50,3,,6,,3,1,,,,,,
49,,2,5,,,,1,,,,,
48,,,4,1,,,,1,2,1,,
47,2,1,,,2,,,,,,0,
46,,,3,,,0,,,1,,,0
45,1,0,2,,,,,,,,,
44,,,1,0,1,,0,0,,0,,
43,,,,,,,,,0,,,
42,0,,0,,,,,,,,,
41,,,,,0,,,,,,,
<=40,,,,,,,,,,,,
