T,3AI,3GI_RI,3GI_EL
90+,4,7,3
89, ,  , 
88, ,  , 
87, ,  , 
86, ,6, 
85, ,  , 
84, ,  , 
83, ,  , 
82, ,  , 
81, ,  , 
80, ,  , 
79,3,5, 
78, ,  , 
77, ,  ,2
76, ,  , 
75, ,  , 
74, ,  , 
73, ,  , 
72, ,4, 
71, ,  , 
70, ,  , 
69, ,  , 
68,2,  , 
67, ,  , 
66, ,  , 
65, ,3, 
64, ,  , 
63, ,  , 
62, ,  ,1
61, ,  , 
60, ,  , 
59, ,  , 
58, ,2, 
57,1,  , 
56, ,  , 
55, ,  , 
54, ,  , 
53, ,  , 
52, ,  , 
51, ,1, 
50, ,  , 
49, ,  , 
48, ,  , 
47, ,  ,0
46,0,  , 
45, ,  , 
44, ,0, 
43, ,  , 
42, ,  , 
41, ,  , 
<=40, ,  , 
