T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,23,23,39,12,,10,9,12,21,14,6,7
89,22,,38,,,,,,,13,,
88,,22,,11,,,,,,,,
87,21,,37,,,,,11,20,,,
86,,21,36,,21,9,,,,12,,
85,20,,35,,,,8,,19,,,6
84,,20,,10,20,,,,,,,
83,19,,34,,,,,10,18,,,
82,,19,33,,19,,,,,11,5,
81,,,32,,,8,,,,,,
80,18,18,,9,,,,,17,,,
79,,,31,,18,,7,9,,10,,
78,17,17,30,,,,,,16,,,5
77,,,29,,17,,,,,,,
76,16,16,28,,,7,,,15,,,
75,,,,8,16,,,8,,9,4,
74,15,15,27,,,,6,,14,,,
73,,,26,,15,,,,,,,
72,,14,25,,,,,,,8,,
71,14,,,7,14,6,,7,13,,,4
70,,13,24,,,,,,,,,
69,13,,23,,,,5,,12,,,
68,,12,22,,13,,,,,7,,
67,12,,21,6,,,,6,11,,3,
66,,11,,,12,,,,,,,
65,,,20,,,,,,,6,,
64,11,10,19,,11,,4,,10,,,3
63,,,18,5,,,,5,,,,
62,10,9,,,10,4,,,9,,,
61,,,17,,,,,,,5,,
60,9,8,16,,,,,,8,,,
59,,,15,4,9,,3,4,,,2,
58,8,7,,,,,,,,4,,2
57,,,14,,8,3,,,7,,,
56,,6,13,,,,,,,,,
55,7,,12,3,7,,,3,6,,,
54,,5,11,,,,2,,,3,,
53,6,,,,6,,,,5,,,
52,,4,10,,,2,,,,,,
51,5,,9,2,,,,2,,2,1,1
50,,3,8,,5,,,,4,,,
49,4,,,,,,1,,,,,
48,,2,7,,4,1,,,3,,,
47,,,6,1,,,,1,,1,,
46,3,1,5,,3,,,,2,,,
45,,,,,,,,,,,,
44,2,0,4,,2,,,,1,0,,0
43,,,3,0,,0,0,0,,,0,
42,1,,2,,1,,,,,,,
41,,,1,,,,,,0,,,
<=40,0,,0,,0,,,,,,,
