T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,26,35,46,,18,11,11,17,25,20,6,9
89,25,,45,18,,,,,24,19,,8
88,24,34,44,,17,10,,,,,,
87,,33,43,17,,,10,16,23,,,
86,23,32,42,,,,,,,18,,
85,,,41,,16,,,15,22,,,
84,22,31,40,16,,9,,,,17,,
83,,30,39,,15,,,,21,,5,7
82,21,29,,15,,,9,14,,16,,
81,,,38,,,,,,20,,,
80,20,28,37,,14,8,,,,,,
79,,27,36,14,,,,13,19,15,,
78,19,26,35,,,,8,,,,,6
77,,,34,,13,,,,18,14,,
76,18,25,33,13,,,,12,,,4,
75,,24,32,,,7,,,17,,,
74,17,23,31,12,12,,7,11,,13,,
73,,,30,,,,,,16,,,5
72,16,22,29,,,,,,,12,,
71,,21,28,11,11,6,,10,15,,,
70,15,20,27,,,,6,,,11,,
69,,19,26,10,,,,,14,,3,
68,14,,25,,10,,,9,,,,
67,13,18,,,,5,,,13,10,,4
66,,17,24,9,,,,8,,,,
65,12,16,23,,9,,5,,12,9,,
64,,,22,,,,,,,,,
63,11,15,21,8,,,,7,11,,,
62,,14,20,,8,4,,,,8,,3
61,10,13,19,7,,,4,,10,,2,
60,,,18,,7,,,6,,7,,
59,9,12,17,,,,,,9,,,
58,,11,16,6,,3,,,,6,,
57,8,10,15,,6,,3,5,8,,,
56,,,14,,,,,,,,,2
55,7,9,13,5,,,,4,7,5,,
54,,8,12,,5,2,,,,,1,
53,6,7,,4,,,,,6,4,,
52,,,11,,,,2,3,5,,,
51,5,6,10,,4,,,,,,,1
50,,5,9,3,,,,,4,3,,
49,4,4,8,,,1,,2,,,,
48,,,7,2,3,,1,,3,2,,
47,3,3,6,,,,,1,,,,
46,2,2,5,,,,,,2,1,0,
45,,1,4,1,2,0,,,,,,0
44,1,,3,,,,0,0,1,,,
43,,0,2,,,,,,,0,,
42,0,,1,0,1,,,,0,,,
41,,,0,,,,,,,,,
<=40,,,,,0,,,,,,,
