T,3AI,3GI_RI,3GI_EL
90+,9,15,5
89, ,  , 
88,8,14, 
87, ,  , 
86, ,  , 
85, ,  , 
84, ,13, 
83,7,  , 
82, ,  , 
81, ,12,4
80, ,  , 
79, ,  , 
78, ,11, 
77,6,, 
76, ,  , 
75, ,10, 
74, ,  , 
73, ,  , 
72,5,  ,3
71, ,9, 
70, ,  , 
69, ,  , 
68, ,8, 
67,4,  , 
66, ,  , 
65, ,7, 
64, ,  , 
63, ,  ,2
62,3,6, 
61, ,  , 
60, ,  , 
59, ,  , 
58, ,5, 
57, ,  , 
56,2,  , 
55, ,4, 
54, ,  ,1
53, ,  , 
52, ,3, 
51,1,  , 
50, ,  , 
49, ,2, 
48, ,  , 
47, ,  , 
46,0,1, 
45, ,  ,0
44, ,  , 
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,  , 
