T,3AI,3GI_RI,3GI_EL
90+,5,9,4
89, ,  , 
88, ,8, 
87,4,  , 
86, ,  , 
85, ,  , 
84, ,  , 
83, ,7, 
82, ,  , 
81, ,  , 
80, ,  ,3
79, ,  , 
78, ,  , 
77,3,6, 
76, ,  , 
75, ,  , 
74, ,  , 
73, ,  , 
72, ,5, 
71, ,  , 
70, ,  , 
69, ,  , 
68, ,  ,2
67,2,  , 
66, ,4, 
65, ,  , 
64, ,  , 
63, ,  , 
62, ,  , 
61, ,3, 
60, ,  , 
59, ,  , 
58, ,  , 
57,1,  ,1
56, ,  , 
55, ,2, 
54, ,  , 
53, ,  , 
52, ,  , 
51, ,  , 
50, ,  , 
49, ,1, 
48, ,  , 
47, ,  , 
46,0,  ,0
45, ,  , 
44, ,0, 
43, ,  , 
42, ,  , 
41, ,  , 
<=40, ,  , 
