T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,25,23,41,15,,12,10,13,21,14,7,9
89,,,40,,,,,,,13,,
88,24,22,39,14,,,,,,,,
87,,,,,21,,,12,20,,,8
86,23,21,38,,,11,9,,,12,6,
85,,,37,,20,,,,19,,,
84,22,20,36,13,,,,,,,,
83,,,35,,,,,11,18,,,
82,21,19,,,19,10,,,,11,,7
81,,,34,12,,,8,,,,,
80,20,18,33,,18,,,,17,,,
79,,,32,,,,,10,,10,5,
78,19,17,31,11,,9,,,16,,,
77,,,,,17,,,,,,,
76,18,16,30,,,,7,9,15,,,6
75,,,29,10,16,,,,,9,,
74,17,15,28,,,8,,,14,,,
73,,,27,,15,,,,,,,
72,16,14,,9,,,,8,,8,4,
71,,,26,,,,6,,13,,,5
70,15,13,25,,14,7,,,,,,
69,,,24,8,,,,,12,,,
68,14,12,23,,13,,,7,,7,,
67,,,,,,,,,11,,,
66,13,11,22,7,12,6,5,,,,,4
65,,,21,,,,,6,,6,,
64,12,10,20,,,,,,10,,3,
63,,,19,6,11,,,,,,,
62,11,9,,,,5,4,,9,,,
61,,,18,,10,,,5,,5,,
60,10,8,17,5,,,,,8,,,3
59,,,16,,,4,,,,,,
58,9,7,15,,9,,,,,4,,
57,,,,4,,,3,4,7,,2,
56,8,6,14,,8,,,,,,,
55,,,13,,,3,,,6,,,2
54,7,5,12,,7,,,3,,3,,
53,,,11,3,,,,,5,,,
52,6,4,,,,,2,,,,,
51,,,10,,6,2,,,,2,,
50,5,3,9,2,,,,2,4,,1,
49,,,8,,5,,,,,,,1
48,4,2,7,,,,,,3,,,
47,,,,1,4,1,1,,,1,,
46,3,1,6,,,,,1,2,,,
45,,,5,,,,,,,,,
44,2,0,4,0,3,,,,1,0,,0
43,,,3,,,0,,0,,,,
42,1,,,,2,,0,,,,0,
41,,,2,,,,,,0,,,
<=40,0,,1,,1,,,,,,,
<=40,,,0,,0,,,,,,,
