T,3AI,3GI_RI,3GI_EL
90+,13,  ,5
89, ,  , 
88, ,  , 
87, ,  , 
86,12,  ,4
85, ,  , 
84, ,  , 
83,11,  , 
82, ,  , 
81, ,  , 
80, ,  , 
79,10,18, 
78, ,  , 
77, ,17, 
76,9,  ,3
75, ,16, 
74, ,  , 
73, ,15, 
72,8,  , 
71, ,  , 
70, ,14, 
69,7,  , 
68, ,13, 
67, ,  , 
66, ,12, 
65,6,  ,2
64, ,11, 
63, ,  , 
62,5,10, 
61, ,  , 
60, ,9, 
59, ,  , 
58,4,  , 
57, ,8, 
56, ,  , 
55,3,7, 
54, ,  ,1
53, ,6, 
52, ,  , 
51,2,5, 
50, ,  , 
49, ,4, 
48, ,  , 
47,1,  , 
46, ,3, 
45, ,  , 
44,0,2,0
43, ,  , 
42, ,1, 
41, ,  , 
<=40, ,0, 
