T,3AI,3GI_RI,3GI_EL
90+,12,17,6
89, ,  , 
88,11,  , 
87, ,16, 
86, ,  , 
85, ,  ,5
84,10,15, 
83, ,  , 
82, ,  , 
81, ,14, 
80,9,  , 
79, ,13, 
78, ,  , 
77, ,  ,4
76,8,12, 
75, ,  , 
74, ,  , 
73, ,11, 
72,7,  , 
71, ,  , 
70, ,10, 
69, ,  ,3
68,6,  , 
67, ,9, 
66, ,  , 
65, ,  , 
64,5,8, 
63, ,  , 
62, ,  , 
61, ,7,2
60,4,  , 
59, ,  , 
58, ,6, 
57, ,  , 
56,3,5, 
55, ,  , 
54, ,  , 
53, ,4,1
52,2,  , 
51, ,  , 
50, ,3, 
49, ,  , 
48,1,  , 
47, ,2, 
46, ,  , 
45, ,  ,0
44,0,1, 
43, ,  , 
42, ,  , 
41, ,0, 
<=40, ,  , 
