T,3AI,3GI_RI,3GI_EL
90+,14,  ,7
89, ,  , 
88,13,  , 
87, ,  , 
86, ,  , 
85, ,  , 
84,12,  , 
83, ,  ,6
82, ,  , 
81,11,  , 
80, ,  , 
79, ,18, 
78,10,  , 
77, ,  , 
76, ,17,5
75, ,  , 
74,9,16, 
73, ,  , 
72, ,15, 
71,8,  , 
70, ,  , 
69, ,14,4
68, ,  , 
67,7,13, 
66, ,  , 
65, ,12, 
64,6,  , 
63, ,11, 
62, ,  ,3
61,5,  , 
60, ,10, 
59, ,  , 
58, ,9, 
57,4,  , 
56, ,8, 
55, ,  ,2
54,3,  , 
53, ,7, 
52, ,  , 
51,2,6, 
50, ,  , 
49, ,5, 
48, ,  ,1
47,1,  , 
46, ,4, 
45, ,  , 
44,0,3, 
43, ,  , 
42, ,2, 
41, ,  ,0
<=40, ,1, 
<=40, ,0, 
