raw_min,raw_max,Scaled Score
5,,2
5,5,3
6,10,4
11,15,5
16,18,6
19,22,7
23,23,8
24,26,9
27,34,10
35,37,11
38,41,12
42,48,13
49,51,14
52,56,15
57,57,16
58,58,17
,58,18
