Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=129,,>=80
2,,,128,,79
3,,,127,,78
4,,,126,,77
5,,,125,,76
6,,,124,,76
7,,,123,,75
8,,,122,,74
9,,,121,,73
10,,,120,,72
11,36,,119,,71
12,,,118,,71
13,,,117,,70
14,,,116,,69
15,35,,115,,68
16,,,114,,67
17,,,113,,66
18,34,,112,,66
19,,,111,,65
20,,,110,,64
21,33,,109,,63
22,,,108,,62
23,,12,107,,61
24,,,106,,61
25,32,,105,,60
26,,,104,,59
27,31,,103,,58
28,,,102,12,57
29,,,101,,57
30,,,100,,56
31,30,11,99,,55
32,,,98,,54
33,29,,97,,53
34,,,96,,52
35,,,95,,52
36,,,94,11,51
37,28,10,93,,50
38,,,92,,49
39,27,,91,,48
40,,,90,,47
41,,,89,,47
42,,,88,,46
43,26,,87,10,45
44,,9,86,,44
45,25,,85,,43
46,,,84,,42
47,,,83,,42
48,,,82,,41
49,24,,81,,40
50,,,80,9,39
51,23,8,79,,38
52,,,78,,38
53,,,77,,37
54,,,76,,36
55,22,,75,,35
56,,,74,,34
57,21,,73,8,33
58,,,72,,33
59,,7,71,,32
60,,,70,,31
61,20,,69,,30
62,,,68,,29
63,19,,67,,28
64,,,66,,28
65,,6,65,,27
66,,,64,7,26
67,18,,63,,25
68,,,62,,24
69,,,61,,23
70,,,60,,23
71,17,,59,,22
72,,5,58,,21
73,16,4,57,6,<=20
74,15,3,56,5,<=20
75,14,2,55,4,<=20
76,13,1,54,3,<=20
77,12,0,53,2,<=20
78,11,,52,1,<=20
79,10,,51,0,<=20
80,9,,50,,<=20
81,8,,49,,<=20
82,7,,48,,<=20
83,6,,47,,<=20
84,5,,46,,<=20
85,4,,45,,<=20
86,3,,44,,<=20
87,2,,43,,<=20
88,1,,42,,<=20
89,,,41,,<=20
90,,,40,,<=20
91,,,39,,<=20
92,,,38,,<=20
93,,,37,,<=20
94,,,36,,<=20
95,,,35,,<=20
96,,,34,,<=20
97,,,33,,<=20
98,,,32,,<=20
99,,,31,,<=20
100,,,30,,<=20
101,,,29,,<=20
102,,,28,,<=20
103,,,27,,<=20
104,,,26,,<=20
105,,,25,,<=20
106,,,24,,<=20
107,,,23,,<=20
108,,,22,,<=20
109,,,21,,<=20
110,,,20,,<=20
111,,,19,,<=20
112,,,18,,<=20
113,,,17,,<=20
114,,,16,,<=20
115,,,15,,<=20
116,,,14,,<=20
117,,,13,,<=20
118,,,12,,<=20
119,,,11,,<=20
120,,,10,,<=20
121,,,9,,<=20
122,,,8,,<=20
123,,,7,,<=20
124,,,6,,<=20
125,,,5,,<=20
126,,,4,,<=20
127,,,3,,<=20
128,,,2,,<=20
129,,,1,,<=20
130,,,0,,<=20
