Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=147,,>=80
2,,,146,,79
3,,,145,,79
4,,,144,,78
5,,,143,,78
6,,,142,,77
7,,,141,,77
8,,,140,,76
9,,,139,,76
10,,,138,,75
11,,,137,,75
12,36,,136,,74
13,,,135,,74
14,,,134,,73
15,,,133,,73
16,35,,132,,72
17,,,131,,72
18,,,130,,71
19,,,129,,71
20,34,,128,,70
21,,,127,,70
22,,,126,,69
23,,,125,,69
24,33,,124,,68
25,,,123,,68
26,,,122,,67
27,,,121,,67
28,32,,120,,66
29,,,119,,66
30,,,118,,65
31,,,117,,65
32,31,,116,,64
33,,,115,,64
34,,12,114,,63
35,,,113,,63
36,30,,112,,62
37,,,111,,62
38,,,110,,61
39,,,109,,61
40,29,11,108,,60
41,,,107,,60
42,,,106,12,59
43,,,105,,59
44,28,,104,,58
45,,,103,,58
46,,,102,,57
47,,,101,,57
48,27,10,100,,56
49,,,99,,56
50,,,98,,55
51,,,97,,55
52,26,,96,,54
53,,,95,,54
54,,,94,11,53
55,,,93,,53
56,25,9,92,,52
57,,,91,,52
58,,,90,,51
59,,,89,,51
60,24,,88,,50
61,,,87,,50
62,,,86,,49
63,,,85,,49
64,23,8,84,,48
65,,,83,,48
66,,,82,10,47
67,,,81,,47
68,22,,80,,46
69,,,79,,46
70,,,78,,45
71,,,77,,45
72,21,7,76,,44
73,,,75,,44
74,,,74,,43
75,,,73,,43
76,20,,72,9,42
77,,,71,,42
78,19,,70,,41
79,,,69,,41
80,,6,68,,40
81,,,67,,40
82,18,,66,,39
83,,,65,,39
84,,,64,,38
85,,,63,,38
86,17,,62,,37
87,,,61,,37
88,,5,60,8,36
89,,,59,,36
90,16,,58,,35
91,,,57,,35
92,,,56,,34
93,,,55,,34
94,15,4,54,,33
95,,,53,,33
96,,,52,,32
97,,,51,,32
98,14,,50,7,31
99,,,49,,31
100,,,48,,30
101,,,47,,30
102,13,3,46,,29
103,,,45,,29
104,,,44,,28
105,,,43,,28
106,12,,42,,27
107,,,41,,27
108,,,40,,26
109,,,39,,26
110,11,2,38,6,25
111,,,37,,25
112,,,36,,24
113,,,35,,24
114,10,,34,,23
115,,,33,,23
116,,,32,,22
117,,,31,,22
118,9,1,30,,21
119,,,29,,21
120,8,0,28,5,<=20
121,7,,27,4,<=20
122,6,,26,3,<=20
123,5,,25,2,<=20
124,4,,24,1,<=20
125,3,,23,0,<=20
126,2,,22,,<=20
127,1,,21,,<=20
128,0,,20,,<=20
129,,,19,,<=20
130,,,18,,<=20
131,,,17,,<=20
132,,,16,,<=20
133,,,15,,<=20
134,,,14,,<=20
135,,,13,,<=20
136,,,12,,<=20
137,,,11,,<=20
138,,,10,,<=20
139,,,9,,<=20
140,,,8,,<=20
141,,,7,,<=20
142,,,6,,<=20
143,,,5,,<=20
144,,,4,,<=20
145,,,3,,<=20
146,,,2,,<=20
147,,,1,,<=20
148,,,0,,<=20
