Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=147,,>=80
2,,,146,,79
3,,,145,,79
4,,,144,,78
5,,,143,,78
6,,,142,,77
7,,,141,,77
8,,,140,,76
9,,,139,,76
10,36,,138,,75
11,,,137,,75
12,,,136,,74
13,,,135,,74
14,35,,134,,73
15,,,133,,73
16,34,,132,,72
17,,,131,,72
18,,,130,,71
19,,,129,,71
20,33,,128,,70
21,,,127,,70
22,,,126,,69
23,,,125,,69
24,32,,124,,68
25,,,123,,68
26,,,122,,67
27,,,121,,67
28,31,,120,,66
29,,,119,,66
30,,,118,,65
31,,,117,,65
32,30,12,116,,64
33,,,115,,64
34,,,114,,63
35,,,113,,63
36,29,,112,12,62
37,,,111,,62
38,,11,110,,61
39,,,109,,61
40,28,,108,,60
41,,,107,,60
42,,,106,,60
43,,,105,,59
44,,,104,,59
45,27,,103,,58
46,,,102,,58
47,,10,101,,57
48,,,100,,57
49,26,,99,11,56
50,,,98,,56
51,,,97,,55
52,,,96,,55
53,25,,95,,54
54,,,94,,54
55,,9,93,,53
56,,,92,,53
57,24,,91,,52
58,,,90,,52
59,,,89,,51
60,,,88,,51
61,23,8,87,,50
62,,,86,,50
63,22,,85,10,49
64,,,84,,49
65,,,83,,48
66,,,82,,48
67,21,,81,,47
68,,,80,,47
69,,7,79,,46
70,,,78,,46
71,20,,77,,45
72,,,76,,45
73,,,75,,44
74,,,74,,44
75,19,,73,9,43
76,,,72,,43
77,,6,71,,42
78,,,70,,42
79,18,,69,,41
80,,,68,,41
81,,,67,,40
82,,,66,,40
83,17,,65,,39
84,,,64,,39
85,,5,63,,38
86,,,62,,38
87,16,,61,8,37
88,,,60,,37
89,,,59,,36
90,,,58,,36
91,15,4,57,,35
92,,,56,,35
93,,,55,,34
94,,,54,,34
95,14,,53,,33
96,,,52,,33
97,,,51,,33
98,,,50,,32
99,,,49,,32
100,13,3,48,7,31
101,,,47,,31
102,,,46,,30
103,,,45,,30
104,12,,44,,29
105,,,43,,29
106,,,42,,28
107,,,41,,28
108,11,2,40,,27
109,,,39,,27
110,,,38,,26
111,,,37,,26
112,10,,36,6,25
113,,,35,,25
114,9,,34,,24
115,,,33,,24
116,,,32,,23
117,,1,31,,23
118,8,,30,,22
119,,,29,,22
120,,,28,,21
121,,,27,,21
122,7,0,26,5,<=20
123,6,,25,4,<=20
124,5,,24,3,<=20
125,4,,23,2,<=20
126,3,,22,1,<=20
127,2,,21,0,<=20
128,1,,20,,<=20
129,0,,19,,<=20
130,,,18,,<=20
131,,,17,,<=20
132,,,16,,<=20
133,,,15,,<=20
134,,,14,,<=20
135,,,13,,<=20
136,,,12,,<=20
137,,,11,,<=20
138,,,10,,<=20
139,,,9,,<=20
140,,,8,,<=20
141,,,7,,<=20
142,,,6,,<=20
143,,,5,,<=20
144,,,4,,<=20
145,,,3,,<=20
146,,,2,,<=20
147,,,1,,<=20
148,,,0,,<=20
