raw_min,raw_max,Scaled Score
12,,2
12,12,3
13,15,4
16,19,5
20,22,6
23,24,7
25,28,8
29,31,9
32,36,10
37,39,11
40,43,12
44,49,13
50,56,14
57,61,15
62,66,16
67,70,17
,70,18
