raw_min,raw_max,Scaled Score
13,,2
13,16,3
17,18,4
19,20,5
21,25,6
26,28,7
29,31,8
32,33,9
34,39,10
40,42,11
43,45,12
46,51,13
52,56,14
57,62,15
63,67,16
68,71,17
,71,18
