raw_min,raw_max,Scaled Score
5,,2
5,5,3
6,10,4
11,15,5
16,18,6
19,22,7
23,24,8
25,28,9
29,35,10
36,39,11
40,42,12
43,48,13
49,52,14
53,58,15
59,61,16
62,63,17
,63,18
