raw_min,raw_max,Scaled Score
6,,2
6,8,3
9,10,4
11,15,5
16,21,6
22,23,7
24,26,8
27,30,9
31,35,10
36,39,11
40,43,12
44,48,13
49,52,14
53,61,15
62,64,16
65,70,17
,70,18
