raw_min,raw_max,Scaled Score
13,,2
13,14,3
15,15,4
16,19,5
20,22,6
23,25,7
26,28,8
29,31,9
32,36,10
37,39,11
40,43,12
44,49,13
50,56,14
57,61,15
62,67,16
68,71,17
,71,18
