raw_min,raw_max,Scaled Score
11,,2
11,11,3
12,13,4
14,19,5
20,22,6
23,24,7
25,28,8
29,31,9
32,36,10
37,39,11
40,43,12
44,49,13
50,56,14
57,61,15
62,64,16
65,70,17
,70,18
