raw_min,raw_max,Scaled Score
13,,2
13,16,3
17,18,4
19,20,5
21,24,6
25,26,7
27,29,8
30,32,9
33,37,10
38,40,11
41,44,12
45,49,13
50,56,14
57,62,15
63,67,16
68,71,17
,71,18
