raw_min,raw_max,Scaled Score
6,,2
6,8,3
9,10,4
11,15,5
16,19,6
20,23,7
24,25,8
26,30,9
31,35,10
36,39,11
40,43,12
44,48,13
49,52,14
53,60,15
61,62,16
63,70,17
,70,18
