Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=130,,>=80
2,,,129,,79
3,,,128,,78
4,,,127,,77
5,,,126,,77
6,,,125,,76
7,,,124,,75
8,,,123,,74
9,,,122,,74
10,,,121,,73
11,,,120,,72
12,,,119,,71
13,,,118,,71
14,,,117,,70
15,,,116,,69
16,36,,115,,68
17,,,114,,67
18,,,113,,67
19,35,,112,,66
20,,,111,,65
21,,,110,,64
22,,,109,,64
23,34,,108,,63
24,,,107,,62
25,,,106,,61
26,33,,105,,61
27,,12,104,,60
28,32,,103,,59
29,,,102,12,58
30,,,101,,58
31,31,,100,,57
32,,,99,,56
33,,11,98,,55
34,30,,97,,54
35,,,96,,54
36,,,95,,53
37,29,,94,,52
38,,,93,,51
39,,,92,,51
40,28,10,91,11,50
41,,,90,,49
42,27,,89,,48
43,,,88,,48
44,,,87,,47
45,,,86,,46
46,26,9,85,,45
47,,,84,,45
48,,,83,,44
49,25,,82,,43
50,,,81,10,42
51,24,8,80,,41
52,,,79,,41
53,,,78,,40
54,23,,77,,39
55,,,76,,38
56,,,75,,38
57,,,74,,37
58,22,7,73,,36
59,,,72,,35
60,,,71,,35
61,21,,70,9,34
62,,,69,,33
63,20,,68,,32
64,,,67,,32
65,,6,66,,31
66,19,,65,,30
67,,,64,,29
68,,,63,,28
69,,,62,,28
70,18,,61,8,27
71,,5,60,,26
72,17,,59,,25
73,,,58,,25
74,,,57,,24
75,16,,56,,23
76,,,55,,22
77,,,54,,22
78,15,4,53,,21
79,14,3,52,7,<=20
80,13,2,51,6,<=20
81,12,1,50,5,<=20
82,11,0,49,4,<=20
83,10,,48,3,<=20
84,9,,47,2,<=20
85,8,,46,1,<=20
86,7,,45,0,<=20
87,6,,44,,<=20
88,5,,43,,<=20
89,4,,42,,<=20
90,3,,41,,<=20
91,2,,40,,<=20
92,1,,39,,<=20
93,,,38,,<=20
94,,,37,,<=20
95,,,36,,<=20
96,,,35,,<=20
97,,,34,,<=20
98,,,33,,<=20
99,,,32,,<=20
100,,,31,,<=20
101,,,30,,<=20
102,,,29,,<=20
103,,,28,,<=20
104,,,27,,<=20
105,,,26,,<=20
106,,,25,,<=20
107,,,24,,<=20
108,,,23,,<=20
109,,,22,,<=20
110,,,21,,<=20
111,,,20,,<=20
112,,,19,,<=20
113,,,18,,<=20
114,,,17,,<=20
115,,,16,,<=20
116,,,15,,<=20
117,,,14,,<=20
118,,,13,,<=20
119,,,12,,<=20
120,,,11,,<=20
121,,,10,,<=20
122,,,9,,<=20
123,,,8,,<=20
124,,,7,,<=20
125,,,6,,<=20
126,,,5,,<=20
127,,,4,,<=20
128,,,3,,<=20
129,,,2,,<=20
130,,,1,,<=20
131,,,0,,<=20
