tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,117,,22,27,,,,29,31,19,14,
89,115,116,21,26,,,,28,30,18,,
88,114,114,,,,,,27,29,,13,
87,112,113,,25,,,,,,,,
86,110,111,20,,,,,26,28,17,,
85,108,109,,24,,,,,,,12,
84,106,107,19,,,,,25,27,16,,
83,104,105,,23,,,,,26,,,
82,102,103,18,,27,,,24,,,,
81,101,101,,,,,12,,25,15,11,
80,99,100,,22,26,,,23,,,,
79,97,98,17,,,,,22,24,,,
78,95,96,,21,25,,,,23,14,,
77,93,94,16,,,,11,21,,,10,
76,91,92,,20,24,,,,22,13,,
75,89,90,,,,,,20,,,,
74,88,88,15,,23,15,,,21,,,
73,86,87,,19,22,,10,19,20,12,9,
72,84,85,14,,,14,,,,,,
71,82,83,,18,21,,,18,19,,,
70,80,81,,,,,,17,,11,,
69,78,79,13,17,20,13,9,,18,,8,24
68,77,77,,,,,,16,17,,,
67,75,76,12,,19,12,,,,10,,23
66,73,74,,16,,,,15,16,,7,
65,71,72,,,18,,8,,,9,,22
64,69,70,11,15,,11,,14,15,,,
63,67,68,,,17,,,,14,,,21
62,65,66,10,14,16,10,,13,,8,6,
61,64,64,,,,,7,,13,,,
60,62,63,,13,15,,,12,,,,20
59,60,61,9,,,9,,11,12,7,,
58,58,59,,,14,,,,,,5,19
57,56,57,8,12,,,6,10,11,6,,
56,54,55,,,13,8,,,10,,,18
55,53,53,7,11,,,,9,,,,
54,51,52,,,12,7,,,9,5,4,17
53,49,50,,10,,,5,8,,,,
52,47,48,6,,11,,,,8,,,16
51,45,46,,,10,6,,7,7,4,,
50,43,44,5,9,,,,6,,,3,
49,41,42,,,9,5,4,,6,3,,15
48,40,40,,8,,,,5,,,,
47,38,39,4,,8,,,,5,,2,14
46,36,37,,7,,4,,4,4,2,,
45,34,35,3,,7,,3,,,,,13
44,32,33,,6,,3,,3,3,,,
43,30,31,,,6,,,,,1,1,12
42,29,29,2,,,,,2,2,,,
41,27,28,,5,5,2,2,1,1,,,11
40,0,26,1,4,4,1,1,0,0,0,0,10
