tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,116,,20,28,,,,28,32,19,,
89,114,115,,27,,,,,,18,15,
88,113,113,,,,,,27,31,,,
87,111,112,19,26,,,,26,30,,,
86,109,110,,,,,,,,17,14,
85,108,108,,,,,,25,29,,,
84,106,107,18,25,,,,,,,,
83,104,105,,,,,,24,28,16,,
82,102,103,17,24,,,,,27,,13,
81,101,101,,,,,,23,,,,
80,99,100,,23,27,,,,26,15,,
79,97,98,16,,,,,22,,,12,
78,96,96,,,26,,,,25,14,,
77,94,95,,22,,,,21,24,,,
76,92,93,15,,25,15,12,,,,,
75,90,91,,21,,,,20,23,13,11,
74,89,89,,,24,14,,,,,,
73,87,88,14,20,,,11,19,22,,,
72,85,86,,,23,,,,21,12,,
71,84,84,13,,22,13,,18,,,10,
70,82,83,,19,,,,17,20,,,
69,80,81,,,21,,10,,,11,,24
68,78,79,12,18,,12,,16,19,,9,
67,77,77,,,20,,,,18,,,
66,75,76,,17,,,,15,,10,,23
65,73,74,11,,19,11,9,,17,,,
64,72,72,,16,,,,14,,9,8,22
63,70,71,10,,18,,,,16,,,
62,68,69,,,17,10,8,13,15,,,21
61,66,67,,15,,,,,,8,7,
60,65,65,9,,16,,,12,14,,,
59,63,64,,14,,9,,,,,,20
58,61,62,,,15,,7,11,13,7,,
57,60,60,8,13,,,,,12,,6,19
56,58,59,,,14,8,,10,,,,
55,56,57,7,,,,,9,11,6,,
54,55,55,,12,13,,6,,,,5,18
53,53,54,,,12,7,,8,10,,,
52,51,52,6,11,,,,,9,5,,17
51,49,50,,,11,,5,7,,,,
50,48,48,,10,,6,,,8,,4,
49,46,47,5,,10,,,6,,4,,16
48,44,45,,,,5,,,7,,,
47,43,43,4,9,9,,4,5,6,3,3,15
46,41,42,,,,,,,,,,
45,39,40,,8,8,4,,4,5,,,14
44,37,38,3,,7,,3,,,2,,
43,36,36,,7,,,,3,4,,2,
42,34,35,,,6,3,,,3,,,13
41,32,33,2,,,,,2,,1,,
40,0,31,1,6,5,2,2,1,2,0,1,12
