tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,130,,24,29,,,,,32,21,,
89,128,129,,,,,,,,20,15,
88,126,127,23,28,,,,30,31,,,
87,124,125,,,,,,29,30,19,,
86,122,123,22,27,,,,,,,14,
85,120,121,,,,,,28,29,18,,
84,118,119,,26,,,,,28,,,
83,116,117,21,,,,,27,,,,
82,114,115,,25,,,,26,27,17,13,
81,112,113,20,,,,,,,,,
80,110,111,,24,,,,25,26,16,,
79,108,109,19,,,,,,25,,12,
78,106,107,,23,,,,24,,,,
77,104,105,,,,,,23,24,15,,
76,102,103,18,22,,,,,23,,11,
75,100,101,,,27,,,22,,14,,
74,98,99,17,21,26,,,,22,,,
73,96,97,,,,15,12,21,,,10,
72,94,95,16,20,25,,,20,21,13,,
71,92,93,,,24,,,,20,,,
70,90,91,,,,14,11,19,,12,,
69,88,89,15,19,23,,,18,19,,9,
68,86,87,,,,13,,,18,,,
67,84,85,14,18,22,,10,17,,11,,24
66,82,83,,,21,,,,17,,8,
65,80,81,13,17,,12,,16,,10,,
64,78,79,,,20,,,15,16,,,23
63,76,77,,16,,,9,,15,,7,
62,74,75,12,,19,11,,14,,9,,22
61,72,73,,15,18,,,,14,,,
60,70,71,11,,,10,8,13,,8,,21
59,68,69,,14,17,,,12,13,,6,
58,66,67,10,,16,,,,12,,,20
57,64,65,,13,,9,7,11,,7,,
56,62,63,9,,15,,,,11,,5,
55,60,61,,12,,,,10,10,6,,19
54,58,59,,,14,8,,9,,,,
53,56,57,8,11,13,,6,,9,5,4,18
52,54,55,,,,7,,8,,,,
51,52,53,7,10,12,,,7,8,,,17
50,50,51,,,11,,5,,7,4,3,
49,48,49,6,9,,6,,6,,,,
48,46,47,,,10,,,,6,3,,16
47,44,45,,,,,4,5,5,,,
46,42,43,5,8,9,5,,4,,,2,15
45,40,41,,,8,,,,4,2,,
44,38,39,4,7,,4,,3,,,,14
43,36,37,,,7,,3,,3,1,1,
42,34,35,3,6,,,,2,2,,,
41,32,33,,,6,3,,1,,,,13
40,0,31,2,5,5,2,2,0,1,0,0,12
