tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,140,,,30,,,,,36,20,,
89,138,139,,,,,,,35,,,
88,136,137,,29,,,,,34,19,,
87,134,135,,,,,,30,,,,
86,131,133,,28,,,,29,33,,,
85,129,130,27,,,,,,32,18,15,
84,127,128,,27,,,,28,,,,
83,125,126,26,,,,,,31,17,,
82,122,124,,26,,,,27,30,,14,
81,120,121,25,,,,,26,29,,,
80,118,119,,25,,,,,,16,,
79,116,117,24,,27,,,25,28,,13,
78,114,115,,24,,,12,24,27,15,,
77,111,113,23,,26,,,,,,,
76,109,110,22,23,,,,23,26,,12,
75,107,108,,,25,,11,,25,14,,
74,105,106,21,22,24,15,,22,24,,,
73,102,104,,,,,,21,,13,11,
72,100,101,20,21,23,,,,23,,,
71,98,99,,,,14,10,20,22,,,
70,96,97,19,20,22,,,19,,12,10,
69,93,95,,,21,13,,,21,,,
68,91,92,18,19,,,,18,20,11,,
67,89,90,,,20,,9,,,,9,24
66,87,88,17,18,,12,,17,19,,,
65,85,86,,,19,,,16,18,10,,23
64,82,84,16,17,,,,,17,,8,
63,80,81,,,18,11,8,15,,9,,
62,78,79,15,16,17,,,14,16,,,22
61,76,77,,,,10,,,15,8,,
60,73,75,14,15,16,,7,13,,,7,21
59,71,72,,14,,,,,14,,,
58,69,70,13,,15,9,,12,13,7,,
57,67,68,12,13,14,,,11,12,,6,20
56,64,66,,,,8,6,,,6,,
55,62,63,11,12,13,,,10,11,,,19
54,60,61,,,,,,9,10,,5,
53,58,59,10,11,12,7,,,,5,,18
52,56,57,,,11,,5,8,9,,,
51,53,55,9,10,,6,,,8,4,4,
50,51,52,,,10,,,7,,,,17
49,49,50,8,9,,,4,6,7,,,
48,47,48,,,9,5,,,6,3,3,16
47,44,46,7,8,,,,5,5,,,
46,42,43,,,8,4,,4,,2,,
45,40,41,6,7,7,,3,,4,,2,15
44,38,39,,,,,,3,3,,,
43,36,37,5,6,6,3,,2,,1,,14
42,33,35,,,,,,,2,,1,
41,31,32,4,5,5,,2,1,1,0,,
40,0,30,3,4,4,2,1,0,0,,0,13
