T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,8+,8+,8+,8+,8+,7+,6+,7+,6+,7+,7+,5+,5+
89,,,,,,,,6,,6,6,,
88,,,,,,,,,,,,,
87,,,7,,7,,5,,,,,,
86,,,,7,,,,,,,,4,4
85,7,7,,,,,,,,,,,
84,,,,,,6,,,,,,,
83,,,,,,,,,,,,,
82,,,,,,,,,5,5,5,,
81,,,,,6,,,5,,,,,
80,,,6,,,,,,,,,,
79,6,6,,6,,,,,,,,,
78,,,,,,,4,,,,,,
77,,,,,,5,,,,,,,
76,,,,,,,,,,,,3,3
75,,,,,,,,,,,,,
74,,,5,,5,,,,4,4,4,,
73,5,5,,5,,,,4,,,,,
72,,,,,,,,,,,,,
71,,,,,,,,,,,,,
70,,,,,,4,,,,,,,
69,,,,,,,3,,,,,,
68,,,,,4,,,,,,,,
67,4,4,4,4,,,,,,3,3,,
66,,,,,,,,,3,,,,
65,,,,,,,,3,,,,2,2
64,,,,,,,,,,,,,
63,,,,,,3,,,,,,,
62,,,,,3,,,,,,,,
61,,,3,3,,,,,,,,,
60,3,3,,,,,2,,,,,,
59,,,,,,,,,,2,2,,
58,,,,,,,,,2,,,,
57,,,,,,,,2,,,,,
56,,,,,,2,,,,,,,
55,,,2,,2,,,,,,,,
54,2,2,,2,,,,,,,,1,1
53,,,,,,,,,,,,,
52,,,,,,,,,,1,1,,
51,,,,,,,1,,,,,,
50,,,,,,,,1,1,,,,
49,,,,,1,1,,,,,,,
48,1,1,1,1,,,,,,,,,
47,,,,,,,,,,,,,
46,,,,,,,,,,,,,
45,,,,,,,,,,,,,
44,,,,,,,,,,0,0,,
43,,,,,0,,,,,,,0,0
42,0,0,0,0,,0,0,0,0,,,,
41,,,,,,,,,,,,,
<= 40,,,,,,,,,,,,,
