T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,,9,8+,8+,7+,9,9,8+,8+,8+,9,9,9
89,,,,,,,8,,,,,,
88,,8,,7,,,,,,,,,
87,,,,,,,,,,,,8,8
86,9,,,,,8,,,,,8,,
85,,,,,,,,,,7,,,
84,,,7,,,,,7,7,,,,
83,,,,,6,,7,,,,,,
82,,7,,,,,,,,,,7,7
81,8,,,6,,,,,,,7,,
80,,,,,,7,,,,,,,
79,,,,,,,,,,6,,,
78,,,,,,,,6,6,,,,
77,,6,6,,,,6,,,,,,
76,7,,,,5,,,,,,,6,6
75,,,,5,,6,,,,,6,,
74,,,,,,,,,,,,,
73,,,,,,,,,,5,,,
72,,,,,,,,5,5,,,,
71,6,5,5,,,,5,,,,,,
70,,,,,,5,,,,,5,5,5
69,,,,,4,,,,,,,,
68,,,,4,,,,,,,,,
67,,,,,,,,,,4,,,
66,5,,,,,,,4,4,,,,
65,,4,4,,,,4,,,,4,4,4
64,,,,,,4,,,,,,,
63,,,,,,,,,,,,,
62,,,,3,3,,,,,,,,
61,4,,,,,,,,,3,,,
60,,,,,,,,3,3,,,,
59,,3,3,,,3,3,,,,3,3,3
58,,,,,,,,,,,,,
57,,,,,,,,,,,,,
56,,,,,,,,,,,,,
55,3,,,2,2,,,,,2,,,
54,,,,,,2,,2,2,,2,2,2
53,,2,,,,,2,,,,,,
52,,,2,,,,,,,,,,
51,,,,,,,,,,,,,
50,2,,,,,,,,,,,,
49,,,,,,,,,,1,1,,
48,,,,1,1,1,1,1,1,,,1,1
47,,1,,,,,,,,,,,
46,,,1,,,,,,,,,,
45,1,,,,,,,,,,,,
44,,,,,,,,,,,,,
43,,,,,,0,,,,0,0,,
42,,,,0,0,,0,0,0,,,0,0
41,,0,,,,,,,,,,,
<= 40,0,,0,,,,,,,,,,
