T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90+,16+,18+,16+,19+,17+,15+,17+,17+,17+,13+,14+,13+,13+
89,,,,18,,,,,,,,,
88,15,17,,,,14,16,16,16,,,,
87,,,15,17,16,,,,,12,13,,
86,,,,,,,,,,,,12,12
85,,16,,,,13,15,15,15,,,,
84,14,,14,16,15,,,,,,,,
83,,,,,,,,,,11,12,11,11
82,,15,,,,,14,14,14,,,,
81,13,,13,15,14,12,,,,,,,
80,,,,,,,,,,,11,,
79,,14,,,,,13,13,13,10,,10,10
78,,,,14,13,11,,,,,,,
77,12,,12,,,,,,,,,,
76,,13,,13,,,12,12,12,,10,,
75,,,,,12,,,,,9,,9,9
74,11,,11,,,10,,,,,,,
73,,12,,12,,,11,11,11,,,,
72,,,,,11,,,,,,9,,
71,10,,10,,,,,,,8,,8,8
70,,11,,11,,9,10,10,10,,,,
69,,,,,10,,,,,,8,,
68,,,9,,,,,,,,,7,7
67,9,10,,10,,8,9,9,9,7,,,
66,,,,,9,,,,,,,,
65,,,8,9,,,,,,,7,,
64,8,9,,,,,8,8,8,,,6,6
63,,,,,8,7,,,,6,,,
62,,,,8,,,,,,,6,,
61,,8,7,,,,7,7,7,,,,
60,7,,,,7,,,,,,,5,5
59,,,,7,,6,,,,5,,,
58,,7,6,,,,6,6,6,,5,,
57,6,,,,6,,,,,,,,
56,,6,,6,,5,,,,,,4,4
55,,,5,,,,5,5,5,4,4,,
54,5,,,,5,,,,,,,,
53,,5,,5,,,,,,,,,
52,,,4,,,4,4,,,,,3,3
51,,,,4,4,,,4,4,3,3,,
50,4,4,,,,,,,,,,,
49,,,3,,,3,3,,,,,2,2
48,,,,3,3,,,3,3,,2,,
47,3,3,,,,,,,,2,,,
46,,,2,,,,2,,,,,,
45,,,,2,2,2,,2,2,,,1,1
44,,2,,,,,,,,,1,,
43,2,,,,,,1,,,1,,,
42,,,1,1,1,,,1,1,,,,
41,,1,,,,1,,,,,0,0,0
<= 40,0-1,0,0,0,0,0,0,0,0,0,,,
