T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,9+,9+,7+,6+,6+,7+,6+,6+,9+,10+,9+,9+,9+
89,,8,,,,,,,,,,,
88,,,6,,,6,,,,,,,
87,,,,5,,,,,,9,,,
86,8,,,,,,,,,,8,8,8
85,,,,,,,5,,8,,,,
84,,7,,,,,,,,,,,
83,,,,,5,,,5,,8,,,
82,,,,,,,,,,,,,
81,7,,5,,,,,,,,7,7,7
80,,,,,,5,,,7,,,,
79,,,,,,,,,,,,,
78,,6,,4,,,,,,7,,,
77,,,,,,,,,,,,,
76,6,,,,,,4,4,,,6,,
75,,,,,4,,,,6,,,6,6
74,,,,,,,,,,,,,
73,,5,4,,,4,,,,6,,,
72,,,,,,,,,,,,,
71,,,,,,,,,,,5,,
70,5,,,,,,,,5,,,5,5
69,,,,3,,,,,,5,,,
68,,,,,3,,3,3,,,,,
67,,4,,,,,,,,,,,
66,,,3,,,3,,,,,,,
65,4,,,,,,,,4,,4,4,4
64,,,,,,,,,,4,,,
63,,,,,,,,,,,,,
62,,3,,,,,,,,,,,
61,,,,,,,,,,,,,
60,3,,,2,2,,2,2,3,,3,3,3
59,,,,,,,,,,3,,,
58,,,2,,,2,,,,,,,
57,,2,,,,,,,,,,,
56,,,,,,,,,,,,,
55,2,,,,,,,,2,,2,,
54,,,,,,,,,,2,,2,2
53,,,,,,,,,,,,,
52,,,,,1,,,1,,,,,
51,,1,1,1,,1,1,,,,,,
50,1,,,,,,,,1,1,1,,
49,,,,,,,,,,,,1,1
48,,,,,,,,,,,,,
47,,,,,,,,,,,,,
46,,0,,,,,,,,,,,
45,0,,,,,,,0,0,0,0,,
44,,,,,0,0,,,,,,0,0
43,,,0,0,,,0,,,,,,
42,,,,,,,,,,,,,
41,,,,,,,,,,,,,
<= 40,,,,,,,,,,,,,
