T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,7+,8+,9+,8+,10+,10+,11+,8+,9+,10+,12+,9+,9+
89,,,8,,,9,10,,8,9,11,,
88,,,,,,,,,,,,,
87,,,,,9,,,,,,,,
86,,,,,,,,7,,,,8,8
85,,7,,7,,,9,,,,10,,
84,6,,,,,8,,,,8,,,
83,,,7,,,,,,7,,,,
82,,,,,8,,,,,,,,
81,,,,,,,8,,,,9,7,7
80,,,,,,7,,6,,,,,
79,,6,,6,,,,,,7,,,
78,,,6,,7,,,,6,,,,
77,5,,,,,,,,,,8,,
76,,,,,,,7,,,,,,
75,,,,,,6,,,,,,6,6
74,,,,5,,,,5,,6,,,
73,,5,,,6,,,,,,7,,
72,,,5,,,,6,,5,,,,
71,4,,,,,,,,,,,,
70,,,,,,5,,,,,,5,5
69,,,,,,,,,,5,6,,
68,,4,,4,5,,,4,,,,,
67,,,4,,,,5,,4,,,,
66,,,,,,,,,,,,,
65,,,,,,4,,,,4,5,4,4
64,3,,,,4,,,,,,,,
63,,,,,,,4,3,,,,,
62,,3,3,3,,,,,,,,,
61,,,,,,,,,3,,4,,
60,,,,,,3,,,,3,,3,3
59,,,,,3,,,,,,,,
58,2,,,,,,3,,,,,,
57,,,,,,,,2,,,3,,
56,,2,2,2,,,,,,,,,
55,,,,,,2,,,2,2,,2,2
54,,,,,2,,2,,,,,,
53,,,,,,,,,,,2,,
52,,,,,,,,,,,,,
51,1,1,1,,,,,1,,,,,
50,,,,1,1,1,1,,1,1,1,1,1
49,,,,,,,,,,,,,
48,,,,,,,,,,,,,
47,,,,,,,,,,,,,
46,,,,,,,,,,,0,,
45,0,0,0,,0,0,0,0,,0,,0,0
44,,,,0,,,,,0,,,,
43,,,,,,,,,,,,,
42,,,,,,,,,,,,,
41,,,,,,,,,,,,,
<= 40,,,,,,,,,,,,,
