Raw,InhibitTScore,Inhibit%Rank,ShiftTScore,Shift%Rank,EmotionalControlTScore,EmotionalControl%Rank,SelfMonitorTScore,SelfMonitor%Rank,InitiateTScore,Initiate%Rank,WorkingMemoryTScore,WorkingMemory%Rank,PlanOrganizeTScore,PlanOrganize%Rank,TaskMonitorTScore,TaskMonitor%Rank,OrgMaterialsTScore,OrgMaterials%Rank
30,,,,,97,>99,,,,,,,102,>99,,,,
29,,,,,94,>99,,,,,,,99,>99,,,,
28,,,,,91,>99,,,,,,,96,>99,,,,
27,,,,,88,>99,,,,,,,93,>99,,,,
26,,,,,85,>99,,,,,,,90,>99,,,,
25,,,,,82,99,,,,,,,87,>99,,,,
24,96,>99,,,80,99,,,100,>99,103,>99,84,99,,,92,>99
23,92,>99,,,77,99,,,96,>99,99,>99,81,99,,,89,>99
22,89,>99,,,74,99,,,92,>99,95,>99,77,99,,,85,>99
21,85,>99,,,71,98,,,88,>99,91,>99,74,98,,,82,99
20,82,99,,,68,97,,,84,>99,87,>99,71,97,,,79,99
19,78,99,,,65,95,,,81,>99,83,>99,68,93,,,75,98
18,75,99,96,>99,63,90,94,>99,77,99,79,99,65,92,98,>99,72,96
17,71,98,91,>99,60,85,89,>99,73,98,75,98,62,89,93,>99,69,93
16,68,98,87,>99,57,78,84,>99,69,95,71,95,59,85,88,>99,65,89
15,64,97,82,99,54,74,80,99,65,93,67,93,56,76,83,>99,62,85
14,61,93,77,99,51,68,75,99,61,87,63,91,52,66,78,>99,59,80
13,58,87,73,98,48,64,70,98,58,83,59,89,49,60,73,99,55,72
12,54,80,68,95,46,52,66,97,54,72,56,80,46,50,68,98,52,66
11,51,67,63,91,43,38,61,86,50,60,52,66,43,39,63,89,49,58
10,47,55,58,85,40,18,56,75,46,46,48,57,40,30,58,80,45,45
9,44,38,54,78,,,52,63,42,32,44,44,,,53,68,42,28
8,40,20,49,62,,,47,54,38,17,40,20,,,48,50,38,15
7,,,44,46,,,42,37,,,,,,,43,34,,
6,,,40,24,,,38,21,,,,,,,38,19,,
