Raw,GlobalExecutiveTScore,GlobalExecutive%Rank
210,111,>99
209,111,>99
208,110,>99
207,109,>99
206,109,>99
205,108,>99
204,108,>99
203,107,>99
202,107,>99
201,106,>99
200,106,>99
199,105,>99
198,105,>99
197,104,>99
196,104,>99
195,103,>99
194,103,>99
193,102,>99
192,101,>99
191,101,>99
190,100,>99
189,100,>99
188,99,>99
187,99,>99
186,98,>99
185,98,>99
184,97,>99
183,97,>99
182,96,>99
181,96,>99
180,95,>99
179,94,>99
178,94,>99
177,93,>99
176,93,>99
175,92,>99
174,92,>99
173,91,>99
172,91,>99
171,90,>99
170,90,>99
169,89,>99
168,89,>99
167,88,>99
166,87,99
165,87,99
164,86,99
163,86,99
162,85,99
161,85,99
160,84,99
159,84,99
158,83,99
157,83,99
156,82,99
155,82,99
154,81,99
153,81,99
152,80,99
151,79,99
150,79,99
149,78,99
148,78,99
147,77,99
146,77,99
145,76,99
144,76,99
143,75,99
142,75,99
141,74,98
140,74,98
139,73,98
138,72,98
137,72,98
136,71,97
135,71,97
134,70,96
133,70,96
132,69,96
131,69,96
130,68,94
129,68,94
128,67,93
127,67,93
126,66,93
125,66,93
124,65,92
123,64,92
122,64,92
121,63,91
120,63,91
119,62,88
118,62,88
117,61,85
116,61,85
115,60,83
114,60,83
113,59,81
112,59,81
111,58,79
110,57,78
109,57,78
108,56,76
107,56,76
106,55,72
105,55,72
104,54,71
103,54,71
102,53,67
101,53,67
100,52,62
99,52,62
98,51,61
97,50,59
96,50,59
95,49,56
94,49,56
93,48,49
92,48,49
91,47,42
90,47,42
89,46,38
88,46,38
87,45,36
86,45,36
85,44,33
84,44,33
83,43,32
82,42,28
81,42,28
80,41,22
79,41,22
78,40,18
77,40,18
76,39,15
75,39,15
74,38,11
73,38,11
72,37,4
71,37,4
70,36,1
,,
,,
,,
,,
,,
90% CI,�3,
