Raw,BehaviorRegulationIndexTScore,BehaviorRegulationIndex%Rank,MetaCognitionIndexTScore,MetaCognitionIndex%Rank
120,,,107,>99
119,,,107,>99
118,,,106,>99
117,,,105,>99
116,,,104,>99
115,,,103,>99
114,,,102,>99
113,,,101,>99
112,,,100,>99
111,,,100,>99
110,,,99,>99
109,,,98,>99
108,,,97,>99
107,,,96,>99
106,,,95,>99
105,,,94,>99
104,,,93,>99
103,,,92,>99
102,,,92,>99
101,,,91,>99
100,,,90,>99
99,,,89,>99
98,,,88,>99
97,,,87,>99
96,,,86,>99
95,,,85,>99
94,,,85,>99
93,,,84,>99
92,,,83,>99
91,,,82,99
90,107,>99,81,99
89,106,>99,80,99
88,105,>99,79,99
87,104,>99,78,99
86,102,>99,77,99
85,101,>99,77,99
84,100,>99,76,99
83,99,>99,75,98
82,98,>99,74,98
81,97,>99,73,97
80,95,>99,72,96
79,94,>99,71,96
78,93,>99,70,95
77,92,>99,70,95
76,91,>99,69,93
75,90,>99,68,93
74,88,99,67,93
73,87,99,66,91
72,86,99,65,91
71,85,99,64,90
70,84,99,63,88
69,83,99,62,88
68,81,99,62,88
67,80,99,61,84
66,79,99,60,82
65,78,99,59,79
64,77,99,58,76
63,76,99,57,76
62,74,99,56,75
61,73,99,55,73
60,72,99,55,73
59,71,99,54,69
58,70,97,53,66
57,68,96,52,64
56,67,96,51,63
55,66,96,50,57
54,65,96,49,53
53,64,93,48,50
52,63,92,47,48
51,61,89,47,48
50,60,89,46,37
49,59,83,45,33
48,58,80,44,31
47,57,78,43,30
46,56,75,42,27
45,54,72,41,24
44,53,70,40,19
43,52,65,40,19
42,51,61,39,15
41,50,58,38,7
40,49,54,37,4
39,47,49,,
38,46,45,,
37,45,40,,
36,44,37,,
35,43,28,,
34,42,22,,
33,40,20,,
32,39,15,,
31,38,11,,
30,37,5,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
90% CI,�5,,�4,
