Raw,GlobalExecutiveTScore,GlobalExecutive%Rank
210,115,>99
209,114,>99
208,114,>99
207,113,>99
206,113,>99
205,112,>99
204,111,>99
203,111,>99
202,110,>99
201,110,>99
200,109,>99
199,109,>99
198,108,>99
197,108,>99
196,107,>99
195,106,>99
194,106,>99
193,105,>99
192,105,>99
191,104,>99
190,104,>99
189,103,>99
188,103,>99
187,102,>99
186,101,>99
185,101,>99
184,100,>99
183,100,>99
182,99,>99
181,99,>99
180,98,>99
179,98,>99
178,97,>99
177,96,>99
176,96,>99
175,95,>99
174,95,>99
173,94,>99
172,94,>99
171,93,>99
170,92,>99
169,92,>99
168,91,>99
167,91,>99
166,90,>99
165,90,>99
164,89,>99
163,89,>99
162,88,>99
161,87,99
160,87,99
159,86,99
158,86,99
157,85,99
156,85,99
155,84,99
154,84,99
153,83,99
152,82,99
151,82,99
150,81,99
149,81,99
148,80,99
147,80,99
146,79,99
145,79,99
144,78,99
143,77,99
142,77,99
141,76,99
140,76,99
139,75,99
138,75,99
137,74,99
136,73,99
135,73,99
134,72,98
133,72,98
132,71,98
131,71,98
130,70,97
129,70,97
128,69,97
127,68,96
126,68,96
125,67,96
124,67,96
123,66,96
122,66,96
121,65,95
120,65,95
119,64,94
118,63,93
117,63,93
116,62,92
115,62,92
114,61,88
113,61,88
112,60,88
111,60,88
110,59,83
109,58,83
108,58,83
107,57,79
106,57,79
105,56,74
104,56,74
103,55,72
102,54,70
101,54,70
100,53,65
99,53,65
98,52,61
97,52,61
96,51,57
95,51,57
94,50,54
93,49,53
92,49,53
91,48,50
90,48,50
89,47,48
88,47,48
87,46,45
86,46,45
85,45,39
84,44,37
83,44,37
82,43,32
81,43,32
80,42,29
79,42,29
78,41,23
77,41,23
76,40,20
75,39,19
74,39,19
73,38,14
72,38,14
71,37,9
70,37,9
,,
,,
,,
,,
,,
90% CI,�3,
