Raw,BehaviorRegulationIndexTScore,BehaviorRegulationIndex%Rank,MetaCognitionIndexTScore,MetaCognitionIndex%Rank
120,,,111,>99
119,,,110,>99
118,,,109,>99
117,,,109,>99
116,,,108,>99
115,,,107,>99
114,,,106,>99
113,,,105,>99
112,,,104,>99
111,,,103,>99
110,,,102,>99
109,,,101,>99
108,,,100,>99
107,,,99,>99
106,,,98,>99
105,,,97,>99
104,,,97,>99
103,,,96,>99
102,,,95,>99
101,,,94,>99
100,,,93,>99
99,,,92,>99
98,,,91,>99
97,,,90,>99
96,,,89,>99
95,,,88,>99
94,,,87,>99
93,,,86,99
92,,,85,99
91,,,84,99
90,111,>99,84,99
89,110,>99,83,99
88,108,>99,82,99
87,107,>99,81,99
86,106,>99,80,99
85,105,>99,79,99
84,104,>99,78,99
83,102,>99,77,99
82,101,>99,76,99
81,100,>99,75,99
80,99,>99,74,99
79,97,>99,73,99
78,96,>99,72,98
77,95,>99,72,98
76,94,>99,71,98
75,93,>99,70,97
74,91,>99,69,97
73,90,>99,68,96
72,89,>99,67,96
71,88,>99,66,95
70,86,>99,65,95
69,85,99,64,94
68,84,99,63,92
67,83,99,62,92
66,82,99,61,91
65,80,99,60,90
64,79,99,59,87
63,78,99,59,87
62,77,99,58,82
61,75,98,57,78
60,74,98,56,76
59,73,98,55,74
58,72,98,54,71
57,71,98,53,65
56,69,97,52,61
55,68,96,51,59
54,67,95,50,58
53,66,94,49,54
52,64,91,48,53
51,63,89,47,49
50,62,88,47,49
49,61,83,46,44
48,60,82,45,43
47,58,80,44,39
46,57,78,43,35
45,56,77,42,32
44,55,73,41,28
43,53,68,40,23
42,52,62,39,18
41,51,56,38,11
40,50,54,37,9
39,48,52,,
38,47,50,,
37,46,43,,
36,45,38,,
35,44,34,,
34,42,30,,
33,41,23,,
32,40,21,,
31,39,17,,
30,37,8,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
90% CI,�5,,�4,
